id,nazivu,univerzitet,naziv,nivo,trajanje,polje,zvanje,skolarina,skolarina2,bs1,bs2,bs3,bs4,bs5,bs6,bs,ss1,ss2,ss3,ss4,ss5,ss6,ss,sss1,sss2,sss3,sss4,sss5,sss6,sss,studenata,zstudenata,espb_budzet,espb_samo
114,Висока пољо.прехрамбена школа струк. студија- Прокупље,,Воћарство и виноградарство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер шумарства,40000,645,22,20,46,,,,88,3,1,15,,,,19,,1,,,,,1,108,4,3036,227
114,Висока пољо.прехрамбена школа струк. студија- Прокупље,,Заштита биља,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер шумарства,40000,645,32,39,61,,,,132,8,6,12,,,,26,,,,,,,0,158,31,5000,1579
114,Висока пољо.прехрамбена школа струк. студија- Прокупље,,Сточарство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер шумарства,40000,645,24,4,23,,,,51,3,5,5,,,,13,,,,,,,0,64,12,1568,207
114,Висока пољо.прехрамбена школа струк. студија- Прокупље,,Прехрамбена технологија,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер технологије,40000,645,63,34,71,,,,168,2,1,1,,,,4,,,,,,,0,172,35,6509,399
114,Висока пољо.прехрамбена школа струк. студија- Прокупље,,Органска пољопривреда,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер шумарства,60000,645,,,,,,,0,,,,11,,,11,,,,,,,0,11,11,0,841
114,Висока пољо.прехрамбена школа струк. студија- Прокупље,,Заштита биља,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер шумарства,60000,645,,,,,,,0,,,,30,,,30,,,,,,,0,30,22,0,1027
114,Висока пољо.прехрамбена школа струк. студија- Прокупље,,Прехрамбена технологија,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер технологије,60000,645,,,,,,,0,,,,15,,,15,,,,,,,0,15,9,0,419
128,"Висока пословно-техничка школа струковних студија, Ужице",,Технолошко инжењерство ОС,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер заштите животне средине,60000,600,44,33,66,,,,143,18,7,32,,,,57,0,0,0,,,,0,200,49,0,0
128,"Висока пословно-техничка школа струковних студија, Ужице",,Грађевинско инжењерство-општи смер,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер грађевинарства,69600,700,0,,,,,,0,10,,,,,,10,0,,,,,,0,10,12,0,0
128,"Висока пословно-техничка школа струковних студија, Ужице",,Информационе технологије,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер електротехнике и рачунарства,69600,700,0,,,,,,0,3,,,,,,3,0,,,,,,0,3,14,0,0
128,"Висока пословно-техничка школа струковних студија, Ужице",,Инжењерство заштите на раду и заштите животне средине,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер заштите на раду,69600,700,0,,,,,,0,22,,,,,,22,0,,,,,,0,22,18,0,0
128,"Висока пословно-техничка школа струковних студија, Ужице",,Грађевинско инжењерство-општи смер ОС,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер грађевинарства,60000,600,40,26,45,,,,111,3,12,47,,,,62,0,0,0,,,,0,173,33,0,0
128,"Висока пословно-техничка школа струковних студија, Ужице",,Информационе технологије ОС,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер електротехнике и рачунарства,60000,600,54,35,49,,,,138,16,8,13,,,,37,0,0,0,,,,0,175,33,0,0
108,"В.техничка машинска школа струковних студија, Трстеник",,Производно машинство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер машинства,60000,550,,,,,,,0,,,,,,,0,,,,,,,0,0,11,0,0
108,"В.техничка машинска школа струковних студија, Трстеник",,Хидраулика и пнеуматика,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер машинства,60000,550,,,,,,,0,,,,,,,0,,,,,,,0,0,12,0,0
108,"В.техничка машинска школа струковних студија, Трстеник",,Информатика у инжењерству,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер машинства,60000,550,,,,,,,0,,,,,,,0,,,,,,,0,0,81,0,0
108,"В.техничка машинска школа струковних студија, Трстеник",,Инжењерство у друмском саобраћају,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер саобраћаја,60000,550,,,,,,,0,,,,,,,0,,,,,,,0,0,122,0,0
121,"Висока струковна школа за текстил, Лесковац",,Конфекција,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер технологије,30000,600,0,0,6,,,,6,0,0,0,,,,0,,,0,,,,0,6,18,2777,166
121,"Висока струковна школа за текстил, Лесковац",,Текстилна технологија,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер технологије,30000,600,,,9,,,,9,,,1,,,,1,,,,,,,0,10,5,1496,0
121,"Висока струковна школа за текстил, Лесковац",,осс Текстилна хемија и заштита животне средине,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер заштите животне средине,30000,600,20,13,13,,,,46,2,,1,,,,3,,,,,,,0,49,0,0,0
118,"В.хемијска -технолошка школа струковних студија, Крушевац",,Tехнологија,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер технологије,48000,920,40,16,20,,,,76,0,5,18,,,,23,,,,,,,0,99,20,1980,1035
